State_PUMA,Borough,AGEGROUPSD,AGEGROUPS,Age65Plus,Age18,MUTU,MUTUD,EDUCD_Recode,EDUCD_College,ENGAbility,LANX,NATIVITY,PovertyLevel,DisabilityAgeGroups,CLASSWKR_DCP,id
3604008,3,8,5,2,2,3,3,3,2,3,2,1,2,3,0,1
3603903,5,10,5,2,2,1,1,3,2,1,1,1,2,3,2,2
3603903,5,8,5,2,2,1,1,2,2,1,1,1,2,3,1,3
3603903,5,6,3,2,2,1,1,4,3,1,1,1,2,3,1,4
3603903,5,5,2,2,2,1,1,2,,1,1,1,2,2,1,5
3603903,5,5,2,2,2,1,1,3,,1,1,1,2,2,1,6
3604110,4,7,4,2,2,3,3,3,2,1,1,1,2,3,1,7
3603806,1,13,6,1,2,1,1,5,3,1,1,1,1,4,0,8
3603808,1,6,3,2,2,1,1,5,3,1,1,2,2,3,1,9
3603902,5,7,4,2,2,1,1,4,3,1,1,1,2,3,3,10
3603902,5,7,4,2,2,1,1,4,3,1,1,1,2,3,1,11
3603902,5,2,1,2,1,1,1,1,,1,1,1,2,1,0,12
3603902,5,2,1,2,1,1,1,1,,1,1,1,2,1,0,13
3603902,5,1,1,2,1,1,1,0,,0,0,1,2,1,0,14
3604009,3,6,3,2,2,2,2,5,3,1,1,2,2,3,1,15
3604009,3,6,3,2,2,2,2,3,2,3,2,1,2,3,1,16
3604102,4,6,3,2,2,3,3,2,2,3,2,1,1,3,1,17
3604102,4,11,6,1,2,3,3,1,1,4,2,2,1,4,0,18
3603705,2,8,5,2,2,3,3,4,3,3,2,1,2,3,1,19
3604004,3,11,6,1,2,1,1,5,3,1,1,2,2,4,1,20
3603806,1,10,5,2,2,1,1,5,3,1,1,1,1,3,0,21
3604111,4,11,6,1,2,1,1,5,3,4,2,2,2,4,2,22
3604112,4,7,4,2,2,6,8,5,3,1,1,1,2,3,1,23
3604112,4,2,1,2,1,3,3,1,,1,1,1,2,1,0,24
3604001,3,13,6,1,2,1,1,2,2,1,1,1,2,4,0,25
3604001,3,10,5,2,2,1,1,2,2,1,1,1,2,3,0,26
3604111,4,8,5,2,2,3,3,2,2,4,2,2,2,3,1,27
3604111,4,6,3,2,2,3,3,2,2,4,2,2,2,3,1,28
3604111,4,6,3,2,2,3,3,2,2,3,2,2,2,3,1,29
3604111,4,6,3,2,2,3,3,4,3,3,2,2,2,3,1,30
3604111,4,6,3,2,2,3,3,2,2,3,2,2,2,3,1,31
3604111,4,5,2,2,2,3,3,2,,4,2,2,2,2,3,32
3604111,4,2,1,2,1,3,3,1,,3,2,2,2,1,0,33
3604111,4,1,1,2,1,3,3,1,,0,0,1,2,1,0,34
3604102,4,12,6,1,2,1,1,3,2,1,1,1,2,4,1,35
3603807,1,8,5,2,2,4,4,4,3,3,2,1,2,3,1,36
3604109,4,7,4,2,2,1,1,2,2,4,2,1,2,3,1,37
3604006,3,6,3,2,2,2,2,3,2,1,1,1,2,3,1,38
3604006,3,8,5,2,2,2,2,2,2,1,1,2,2,3,1,39
3604110,4,8,5,2,2,1,1,3,2,3,2,1,2,3,1,40
3604112,4,8,5,2,2,2,2,2,2,1,1,2,2,3,1,41
3604112,4,3,1,2,1,2,2,1,,1,1,1,2,1,0,42
3604112,4,12,6,1,2,2,2,4,3,1,1,2,2,4,0,43
3604112,4,12,6,1,2,2,2,1,1,1,1,2,2,4,0,44
3604104,4,7,4,2,2,4,4,4,3,3,2,2,2,3,1,45
3604104,4,7,4,2,2,4,4,4,3,3,2,2,2,3,1,46
3604104,4,3,1,2,1,4,4,1,,1,1,1,2,1,0,47
3604104,4,2,1,2,1,4,4,1,,1,1,1,2,1,0,48
3604009,3,11,6,1,2,3,3,5,3,4,2,1,2,4,0,49
3604009,3,12,6,1,2,3,3,5,3,3,2,1,2,4,0,50
3604003,3,9,5,2,2,2,2,3,2,1,1,2,2,3,1,51
3604003,3,6,3,2,2,2,2,4,3,1,1,1,2,3,1,52
3604101,4,9,5,2,2,1,1,5,3,1,1,1,2,3,1,53
3604004,3,7,4,2,2,2,2,2,2,1,1,2,1,3,0,54
3604007,3,7,4,2,2,3,3,2,2,3,2,1,1,3,0,55
3603801,1,6,3,2,2,1,1,2,2,1,1,1,2,3,1,56
3603801,1,6,3,2,2,3,3,3,2,1,1,1,1,3,3,57
3603801,1,2,1,2,1,3,3,1,,1,1,1,1,1,0,58
3603710,2,4,2,2,2,2,2,2,,1,1,1,,2,0,59
3604103,4,11,6,1,2,1,1,3,2,1,1,1,2,4,2,60
3604103,4,9,5,2,2,3,3,3,2,1,1,1,2,3,1,61
3604109,4,7,4,2,2,4,4,3,2,1,1,2,2,3,1,62
3604109,4,4,1,2,1,4,4,1,,1,1,1,2,1,0,63
3604109,4,3,1,2,1,4,4,1,,1,1,1,2,1,0,64
3603902,5,8,5,2,2,6,8,4,3,4,2,1,2,3,1,65
3603902,5,7,4,2,2,6,8,3,2,4,2,2,2,3,1,66
3603902,5,5,2,2,2,6,8,3,,3,2,1,2,2,1,67
3603902,5,4,2,2,2,6,8,1,,3,2,1,2,2,0,68
3603902,5,11,6,1,2,6,8,1,1,3,2,2,2,4,0,69
3604016,3,11,6,1,2,1,1,5,3,3,2,2,2,4,3,70
3604016,3,11,6,1,2,1,1,4,3,3,2,2,2,4,1,71
3604016,3,8,5,2,2,1,1,4,3,3,2,1,2,3,0,72
3604009,3,12,6,1,2,2,2,4,3,1,1,2,2,4,0,73
3604009,3,7,4,2,2,2,2,2,2,1,1,2,2,3,2,74
3604104,4,8,5,2,2,1,1,3,2,1,1,1,2,3,1,75
3604104,4,8,5,2,2,1,1,3,2,1,1,1,2,3,0,76
3603710,2,9,5,2,2,2,2,2,2,1,1,1,1,3,0,77
3603710,2,6,3,2,2,2,2,1,1,1,1,1,1,3,0,78
3603710,2,2,1,2,1,2,2,1,,1,1,1,1,1,0,79
3603710,2,2,1,2,1,2,2,1,,1,1,1,1,1,0,80
3603903,5,11,6,1,2,2,2,4,3,1,1,2,2,4,0,81
3603903,5,4,1,2,1,2,2,1,,1,1,2,2,1,0,82
3603903,5,6,3,2,2,2,2,3,2,1,1,2,2,3,1,83
3603705,2,6,3,2,2,3,3,2,2,3,2,1,2,3,1,84
3603705,2,3,1,2,1,3,3,1,,1,1,1,2,1,0,85
3603701,2,7,4,2,2,2,2,5,3,3,2,2,1,3,3,86
3603701,2,7,4,2,2,2,2,4,3,3,2,2,1,3,1,87
3603701,2,2,1,2,1,2,2,1,,1,1,1,1,1,0,88
3603701,2,1,1,2,1,2,2,0,,0,0,1,1,1,0,89
3603701,2,1,1,2,1,2,2,0,,0,0,1,1,1,0,90
3603701,2,10,5,2,2,2,2,1,1,1,1,2,1,3,0,91
3604109,4,12,6,1,2,1,1,1,1,1,1,2,2,4,0,92
3604114,4,9,5,2,2,1,1,4,3,1,1,1,2,3,1,93
3604114,4,9,5,2,2,1,1,4,3,1,1,1,2,3,1,94
3604114,4,5,2,2,2,1,1,4,,1,1,1,2,2,1,95
3604112,4,8,5,2,2,3,3,3,2,4,2,2,2,3,1,96
3604112,4,11,6,1,2,3,3,1,1,4,2,2,2,4,0,97
3604112,4,5,2,2,2,3,3,3,,3,2,1,2,2,0,98
3604015,3,13,6,1,2,1,1,5,3,1,1,1,1,4,0,99
3604110,4,12,6,1,2,1,1,1,1,3,2,2,2,4,0,100
3603707,2,7,4,2,2,3,3,3,2,4,2,2,1,3,0,101
3603707,2,2,1,2,1,3,3,1,,3,2,1,1,1,0,102
3603707,2,1,1,2,1,3,3,0,,0,0,1,1,1,0,103
3603802,1,7,4,2,2,3,3,2,2,3,2,1,1,3,1,104
3603802,1,4,2,2,2,3,3,3,,3,2,1,1,2,0,105
3603808,1,10,5,2,2,2,2,3,2,4,2,2,2,3,2,106
3604001,3,6,3,2,2,1,1,4,3,1,1,1,2,3,3,107
3604001,3,6,3,2,2,1,1,4,3,1,1,1,2,3,1,108
3604001,3,6,3,2,2,1,1,5,3,1,1,1,2,3,1,109
3604001,3,6,3,2,2,1,1,4,3,1,1,1,2,3,3,110
3603903,5,8,5,2,2,1,1,4,3,1,1,1,2,3,1,111
3603903,5,3,1,2,1,1,1,1,,1,1,1,2,1,0,112
3604009,3,12,6,1,2,2,2,2,2,1,1,1,2,4,0,113
3604009,3,8,5,2,2,2,2,2,2,1,1,1,2,3,1,114
3604108,4,13,6,1,2,3,3,2,2,4,2,2,,4,0,115
3604105,4,10,5,2,2,5,7,1,1,1,1,2,1,3,0,116
3604105,4,10,5,2,2,5,7,1,1,1,1,2,1,3,0,117
3603704,2,11,6,1,2,3,3,3,2,3,2,1,2,4,2,118
3603704,2,11,6,1,2,3,3,1,1,4,2,1,1,4,0,119
3604111,4,7,4,2,2,1,1,5,3,3,2,1,2,3,2,120
3604111,4,7,4,2,2,1,1,4,3,1,1,1,2,3,1,121
3604105,4,6,3,2,2,2,2,2,2,1,1,1,2,3,1,122
3604105,4,3,1,2,1,2,2,1,,1,1,1,2,1,0,123
3604105,4,1,1,2,1,2,2,1,,0,0,1,2,1,0,124
3603901,5,13,6,1,2,1,1,2,2,1,1,1,2,4,0,125
3604016,3,9,5,2,2,1,1,1,1,4,2,2,2,3,1,126
3603808,1,5,2,2,2,1,1,3,,1,1,1,,2,0,127
3603809,1,8,5,2,2,2,2,2,2,1,1,1,2,3,0,128
3604109,4,7,4,2,2,4,4,1,1,4,2,2,1,3,1,129
3604109,4,6,3,2,2,4,4,1,1,4,2,2,1,3,0,130
3604109,4,2,1,2,1,4,4,1,,1,1,1,1,1,0,131
3604109,4,1,1,2,1,4,4,0,,0,0,1,1,1,0,132
3603901,5,13,6,1,2,1,1,2,2,1,1,1,2,4,0,133
3603901,5,11,6,1,2,1,1,2,2,1,1,1,2,4,0,134
3604018,3,11,6,1,2,1,1,3,2,4,2,2,2,4,1,135
3604018,3,7,4,2,2,1,1,3,2,4,2,2,2,3,1,136
3604012,3,8,5,2,2,4,4,1,1,4,2,2,2,3,1,137
3604012,3,8,5,2,2,4,4,1,1,4,2,2,2,3,1,138
3604012,3,5,2,2,2,4,4,3,,4,2,1,2,2,1,139
3604012,3,5,2,2,2,4,4,1,,4,2,1,2,2,1,140
3604012,3,2,1,2,1,4,4,1,,4,2,1,2,1,0,141
3604111,4,10,5,2,2,5,6,1,1,4,2,2,2,3,3,142
3604111,4,11,6,1,2,5,6,1,1,4,2,2,2,4,3,143
3604111,4,3,1,2,1,5,6,1,,3,2,2,2,1,0,144
3604010,3,9,5,2,2,2,2,4,3,1,1,2,2,3,1,145
3604010,3,11,6,1,2,2,2,2,2,1,1,2,2,4,1,146
3604104,4,7,4,2,2,1,1,2,2,1,1,1,2,3,1,147
3604104,4,7,4,2,2,1,1,3,2,1,1,1,2,3,1,148
3604104,4,3,1,2,1,1,1,1,,1,1,1,2,1,0,149
3604104,4,3,1,2,1,1,1,1,,1,1,1,2,1,0,150
3603803,1,7,4,2,2,3,3,1,1,3,2,1,1,3,0,151
3604105,4,11,6,1,2,6,8,2,2,3,2,2,2,4,1,152
3604105,4,9,5,2,2,6,8,1,1,4,2,2,2,3,1,153
3604105,4,7,4,2,2,6,8,5,3,1,1,2,2,3,1,154
3604105,4,6,3,2,2,6,8,4,3,3,2,1,2,3,1,155
3604105,4,5,2,2,2,6,8,4,,1,1,1,2,2,0,156
3604105,4,6,3,2,2,6,8,1,1,4,2,2,2,3,1,157
3604105,4,6,3,2,2,6,8,1,1,1,1,2,2,3,0,158
3604105,4,1,1,2,1,6,8,0,,0,0,1,2,1,0,159
3604105,4,1,1,2,1,6,8,0,,0,0,1,2,1,0,160
3604105,4,1,1,2,1,6,8,0,,0,0,1,2,1,0,161
3604003,3,8,5,2,2,2,2,2,2,1,1,2,2,3,2,162
3604003,3,8,5,2,2,2,2,3,2,1,1,2,2,3,1,163
3604003,3,5,2,2,2,2,2,3,,1,1,2,2,2,0,164
3604003,3,4,2,2,2,2,2,1,,1,1,2,2,2,0,165
3603903,5,11,6,1,2,1,1,5,3,1,1,1,2,4,0,166
3604002,3,9,5,2,2,3,3,1,1,4,2,1,1,3,0,167
3603903,5,7,4,2,2,3,3,3,2,3,2,1,2,3,1,168
3603903,5,6,3,2,2,3,3,2,2,3,2,1,2,3,1,169
3603903,5,1,1,2,1,3,3,0,,0,0,1,2,1,0,170
3603903,5,1,1,2,1,3,3,0,,0,0,1,2,1,0,171
3604011,3,9,5,2,2,2,2,3,2,1,1,1,2,3,2,172
3604011,3,9,5,2,2,2,2,2,2,1,1,1,2,3,0,173
3604011,3,7,4,2,2,2,2,3,2,1,1,1,2,3,1,174
3603802,1,6,3,2,2,2,2,4,3,3,2,1,,3,1,175
3603709,2,7,4,2,2,3,3,3,2,4,2,2,1,3,1,176
3603709,2,2,1,2,1,3,3,1,,3,2,1,1,1,0,177
3604001,3,6,3,2,2,1,1,5,3,1,1,1,1,3,0,178
3604001,3,6,3,2,2,1,1,3,2,1,1,1,2,3,1,179
3604101,4,6,3,2,2,1,1,4,3,1,1,1,2,3,1,180
3604101,4,6,3,2,2,1,1,4,3,1,1,1,2,3,2,181
3604105,4,13,6,1,2,2,2,5,3,1,1,1,2,4,0,182
3604105,4,10,5,2,2,2,2,4,3,1,1,1,2,3,2,183
3604105,4,9,5,2,2,2,2,5,3,1,1,1,2,3,1,184
3604105,4,10,5,2,2,2,2,5,3,1,1,1,2,3,1,185
3603710,2,7,4,2,2,2,2,2,2,1,1,1,1,3,0,186
3603710,2,4,1,2,1,2,2,1,,1,1,1,1,1,0,187
3603710,2,1,1,2,1,2,2,1,,0,0,1,1,1,0,188
3604102,4,7,4,2,2,4,4,2,2,4,2,2,2,3,3,189
3603707,2,11,6,1,2,3,3,1,1,4,2,2,1,4,0,190
3604014,3,10,5,2,2,1,1,5,3,1,1,1,2,3,3,191
3604014,3,10,5,2,2,1,1,5,3,1,1,1,2,3,1,192
3604014,3,6,3,2,2,1,1,4,3,1,1,1,2,3,1,193
3604014,3,5,2,2,2,1,1,4,,1,1,1,2,2,1,194
3604111,4,8,5,2,2,4,4,4,3,4,2,2,2,3,1,195
3604111,4,12,6,1,2,4,4,1,1,4,2,2,2,4,0,196
3604111,4,11,6,1,2,4,4,3,2,4,2,2,2,4,0,197
3604111,4,7,4,2,2,4,4,2,2,3,2,1,2,3,1,198
3603807,1,6,3,2,2,4,4,4,3,1,1,2,2,3,1,199
3603807,1,5,2,2,2,4,4,4,,1,1,2,2,2,1,200
3604017,3,13,6,1,2,1,1,4,3,4,2,2,2,4,0,201
3604017,3,12,6,1,2,1,1,5,3,4,2,2,2,4,0,202
3603706,2,11,6,1,2,3,3,1,1,4,2,1,1,4,0,203
3603706,2,12,6,1,2,3,3,1,1,4,2,1,2,4,0,204
3604109,4,7,4,2,2,3,3,4,3,4,2,2,2,3,3,205
3604109,4,1,1,2,1,3,3,0,,0,0,1,2,1,0,206
3603701,2,8,5,2,2,2,2,4,3,3,2,2,1,3,1,207
3603705,2,9,5,2,2,2,2,3,2,1,1,1,2,3,2,208
3603705,2,10,5,2,2,2,2,2,2,4,2,2,2,3,1,209
3604009,3,12,6,1,2,2,2,2,2,1,1,2,2,4,0,210
3604009,3,9,5,2,2,2,2,3,2,1,1,2,2,3,1,211
3604009,3,4,2,2,2,2,2,2,,1,1,1,2,2,0,212
3604009,3,8,5,2,2,2,2,2,2,1,1,2,2,3,1,213
3604108,4,8,5,2,2,4,4,4,3,3,2,1,2,3,1,214
3604108,4,8,5,2,2,3,3,3,2,3,2,2,2,3,1,215
3604108,4,2,1,2,1,3,3,1,,3,2,1,2,1,0,216
3604108,4,12,6,1,2,3,3,2,2,3,2,1,2,4,1,217
3604108,4,10,5,2,2,3,3,3,2,4,2,2,2,3,1,218
3604108,4,6,3,2,2,3,3,1,1,3,2,1,2,3,0,219
3604108,4,12,6,1,2,3,3,4,3,1,1,1,1,4,0,220
3604011,3,9,5,2,2,2,2,3,2,1,1,1,2,3,1,221
3603804,1,7,4,2,2,1,1,2,2,3,2,2,,3,0,222
3604108,4,8,5,2,2,1,1,5,3,4,2,2,2,3,0,223
3604108,4,8,5,2,2,1,1,5,3,4,2,2,2,3,2,224
3604108,4,5,2,2,2,1,1,3,,3,2,2,2,2,0,225
3603808,1,8,5,2,2,4,4,5,3,4,2,2,2,3,3,226
3603808,1,7,4,2,2,4,4,3,2,4,2,2,2,3,0,227
3604004,3,9,5,2,2,1,1,5,3,1,1,2,2,3,1,228
3604004,3,7,4,2,2,1,1,5,3,1,1,1,2,3,3,229
3604101,4,6,3,2,2,1,1,4,3,4,2,2,1,3,0,230
3604101,4,6,3,2,2,1,1,4,3,4,2,2,1,3,0,231
3604102,4,6,3,2,2,3,3,1,1,4,2,2,1,3,1,232
3604102,4,2,1,2,1,3,3,1,,3,2,1,1,1,0,233
3604102,4,2,1,2,1,3,3,1,,3,2,1,1,1,0,234
3604102,4,5,2,2,2,3,3,2,,4,2,2,2,2,1,235
3604009,3,12,6,1,2,3,3,3,2,4,2,1,2,4,0,236
3603701,2,6,3,2,2,3,3,4,3,1,1,1,2,3,1,237
3603701,2,1,1,2,1,3,3,0,,0,0,1,2,1,0,238
3604110,4,11,6,1,2,1,1,3,2,1,1,1,2,4,0,239
3604110,4,11,6,1,2,1,1,3,2,1,1,1,2,4,0,240
3604102,4,12,6,1,2,5,5,2,2,1,1,1,2,4,0,241
3604102,4,12,6,1,2,5,5,2,2,1,1,1,2,4,0,242
3604102,4,8,5,2,2,5,5,5,3,1,1,1,2,3,1,243
3604009,3,10,5,2,2,1,1,2,2,1,1,1,2,3,1,244
3604009,3,10,5,2,2,1,1,2,2,1,1,1,2,3,1,245
3604009,3,7,4,2,2,1,1,1,1,1,1,1,2,3,0,246
3604009,3,2,1,2,1,1,1,1,,1,1,1,2,1,0,247
3604009,3,7,4,2,2,1,1,2,2,1,1,1,1,3,1,248
3603807,1,6,3,2,2,2,2,3,2,1,1,1,1,3,0,249
3604004,3,5,2,2,2,1,1,3,,1,1,1,,2,1,250
3604110,4,8,5,2,2,1,1,4,3,4,2,2,2,3,3,251
3604110,4,1,1,2,1,1,1,1,,0,0,1,2,1,0,252
3604110,4,8,5,2,2,1,1,4,3,4,2,2,2,3,1,253
3604014,3,12,6,1,2,1,1,1,1,4,2,2,1,4,0,254
3604014,3,11,6,1,2,1,1,4,3,4,2,2,1,4,0,255
3604009,3,8,5,2,2,1,1,3,2,1,1,1,1,3,0,256
3604103,4,13,6,1,2,1,1,2,2,1,1,1,2,4,0,257
3604013,3,12,6,1,2,1,1,4,3,1,1,1,2,4,0,258
3604013,3,13,6,1,2,1,1,1,1,1,1,2,2,4,0,259
3603703,2,6,3,2,2,6,8,2,2,1,1,1,1,3,1,260
3603703,2,2,1,2,1,2,2,1,,1,1,1,1,1,0,261
3603703,2,1,1,2,1,2,2,1,,0,0,1,1,1,0,262
3604110,4,8,5,2,2,1,1,4,3,1,1,1,2,3,2,263
3604110,4,8,5,2,2,1,1,3,2,1,1,1,2,3,0,264
3604110,4,4,1,2,1,1,1,1,,1,1,1,2,1,1,265
3603810,1,6,3,2,2,4,4,5,3,1,1,1,,3,0,266
3604105,4,11,6,1,2,2,2,2,2,1,1,2,2,4,0,267
3604105,4,12,6,1,2,2,2,1,1,1,1,2,2,4,1,268
3604105,4,7,4,2,2,2,2,5,3,1,1,1,2,3,2,269
3603902,5,10,5,2,2,1,1,3,2,1,1,1,2,3,2,270
3603902,5,11,6,1,2,1,1,2,2,1,1,1,2,4,2,271
3603809,1,5,2,2,2,1,1,4,,1,1,1,2,2,1,272
3603809,1,5,2,2,2,1,1,2,,1,1,1,2,2,3,273
3603809,1,1,1,2,1,1,1,0,,0,0,1,2,1,0,274
3603804,1,7,4,2,2,1,1,4,3,3,2,2,2,3,2,275
3603804,1,3,1,2,1,1,1,1,,3,2,1,2,1,0,276
3603804,1,3,1,2,1,1,1,1,,3,2,1,2,1,0,277
3604016,3,11,6,1,2,3,3,2,2,3,2,1,2,4,0,278
3604016,3,11,6,1,2,3,3,2,2,3,2,1,2,4,0,279
3604008,3,8,5,2,2,2,2,2,2,1,1,2,2,3,3,280
3604109,4,11,6,1,2,3,3,2,2,1,1,1,2,4,0,281
3603704,2,8,5,2,2,3,3,1,1,3,2,1,2,3,1,282
3603704,2,5,2,2,2,3,3,1,,1,1,1,2,2,1,283
3603804,1,5,2,2,2,1,1,1,,1,1,1,1,2,0,284
3604013,3,6,3,2,2,1,1,3,2,3,2,2,2,3,1,285
3604013,3,6,3,2,2,1,1,4,3,3,2,2,2,3,1,286
3604013,3,8,5,2,2,1,1,4,3,4,2,2,2,3,1,287
3603802,1,10,5,2,2,3,3,1,1,4,2,2,1,3,0,288
3603802,1,11,6,1,2,3,3,1,1,4,2,2,1,4,0,289
3604108,4,10,5,2,2,4,4,4,3,4,2,2,1,3,1,290
3603810,1,8,5,2,2,1,1,3,2,3,2,2,2,3,1,291
3603810,1,6,3,2,2,1,1,3,2,1,1,1,2,3,1,292
3603810,1,1,1,2,1,1,1,0,,0,0,1,2,1,0,293
3604013,3,9,5,2,2,1,1,3,2,1,1,1,2,3,1,294
3604111,4,8,5,2,2,3,3,2,2,4,2,2,2,3,1,295
3604111,4,8,5,2,2,3,3,2,2,4,2,2,2,3,1,296
3604111,4,3,1,2,1,3,3,1,,3,2,1,2,1,0,297
3604111,4,3,1,2,1,3,3,1,,3,2,1,2,1,0,298
3603810,1,10,5,2,2,3,3,5,3,1,1,1,2,3,2,299
3603810,1,10,5,2,2,1,1,5,3,1,1,1,2,3,0,300
3603810,1,5,2,2,2,3,3,4,,1,1,1,2,2,1,301
3604108,4,12,6,1,2,1,1,4,3,1,1,1,2,4,0,302
3603902,5,9,5,2,2,1,1,3,2,1,1,1,2,3,2,303
3603709,2,8,5,2,2,2,2,2,2,1,1,1,2,3,2,304
3603706,2,8,5,2,2,3,3,1,1,4,2,2,2,3,1,305
3603706,2,6,3,2,2,3,3,2,2,3,2,2,2,3,1,306
3603706,2,6,3,2,2,3,3,2,2,3,2,1,2,3,1,307
3603706,2,5,2,2,2,3,3,2,,3,2,1,2,2,1,308
3603706,2,9,5,2,2,3,3,1,1,4,2,2,2,3,1,309
3603802,1,8,5,2,2,1,1,5,3,1,1,1,2,3,1,310
3603802,1,8,5,2,2,1,1,5,3,1,1,1,2,3,1,311
3603802,1,3,1,2,1,1,1,1,,1,1,1,2,1,0,312
3603802,1,2,1,2,1,1,1,1,,1,1,1,2,1,0,313
3604006,3,7,4,2,2,3,3,3,2,3,2,1,2,3,1,314
3604006,3,7,4,2,2,2,2,4,3,1,1,1,2,3,1,315
3604016,3,8,5,2,2,1,1,2,2,1,1,1,2,3,1,316
3604016,3,5,2,2,2,1,1,4,,1,1,1,2,2,1,317
3604016,3,11,6,1,2,1,1,1,1,3,2,1,2,4,0,318
3604001,3,7,4,2,2,3,3,3,2,3,2,1,2,3,1,319
3604001,3,2,1,2,1,3,3,1,,1,1,1,2,1,0,320
3604001,3,8,5,2,2,3,3,1,1,3,2,1,2,3,0,321
3604003,3,6,3,2,2,2,2,5,3,1,1,1,2,3,1,322
3604101,4,8,5,2,2,1,1,5,3,1,1,1,2,3,1,323
3604101,4,7,4,2,2,1,1,5,3,1,1,1,2,3,1,324
3604101,4,2,1,2,1,1,1,1,,1,1,1,2,1,0,325
3604101,4,1,1,2,1,1,1,1,,0,0,1,2,1,0,326
3604101,4,1,1,2,1,1,1,1,,0,0,1,2,1,0,327
3604106,4,7,4,2,2,2,2,4,3,3,2,2,2,3,1,328
3604106,4,7,4,2,2,2,2,4,3,1,1,2,2,3,1,329
3604106,4,1,1,2,1,2,2,0,,0,0,1,2,1,0,330
3604017,3,7,4,2,2,3,3,4,3,4,2,2,1,3,1,331
3604017,3,7,4,2,2,3,3,2,2,4,2,1,1,3,0,332
3603903,5,11,6,1,2,2,2,4,3,1,1,1,2,4,0,333
3604103,4,8,5,2,2,4,4,2,2,4,2,2,2,3,0,334
3604103,4,8,5,2,2,4,4,2,2,4,2,2,2,3,1,335
3604103,4,12,6,1,2,4,4,1,1,4,2,2,2,4,0,336
3604107,4,6,3,2,2,4,4,4,3,3,2,1,2,3,1,337
3604001,3,7,4,2,2,4,4,1,1,4,2,2,2,3,1,338
3604103,4,5,2,2,2,4,4,3,,4,2,2,2,2,0,339
3604007,3,11,6,1,2,2,2,1,1,1,1,1,1,4,0,340
3604007,3,9,5,2,2,2,2,1,1,1,1,1,1,3,0,341
3604105,4,8,5,2,2,2,2,5,3,1,1,2,2,3,2,342
3604105,4,9,5,2,2,2,2,2,2,1,1,2,2,3,1,343
3604105,4,4,2,2,2,2,2,2,,1,1,2,2,2,1,344
3604105,4,4,1,2,1,2,2,1,,1,1,2,2,1,0,345
3604105,4,3,1,2,1,2,2,1,,1,1,2,2,1,0,346
3603710,2,10,5,2,2,3,3,2,2,4,2,2,1,3,3,347
3604009,3,8,5,2,2,2,2,4,3,1,1,2,2,3,3,348
3604009,3,2,1,2,1,2,2,1,,1,1,1,,1,0,349
3604009,3,2,1,2,1,2,2,1,,1,1,1,,1,0,350
3604009,3,1,1,2,1,2,2,1,,0,0,1,,1,0,351
3604005,3,4,1,2,1,3,3,1,,3,2,1,,1,0,352
3604106,4,7,4,2,2,4,4,4,3,4,2,2,2,3,1,353
3604106,4,6,3,2,2,4,4,4,3,3,2,2,2,3,1,354
3604018,3,13,6,1,2,1,1,2,2,4,2,2,1,4,0,355
3604008,3,7,4,2,2,2,2,4,3,1,1,2,2,3,1,356
3604008,3,10,5,2,2,2,2,2,2,3,2,1,2,3,0,357
3604008,3,5,2,2,2,2,2,2,,1,1,1,2,2,0,358
3604008,3,3,1,2,1,2,2,1,,1,1,1,2,1,0,359
3604008,3,2,1,2,1,2,2,1,,1,1,1,2,1,0,360
3604008,3,5,2,2,2,2,2,2,,1,1,1,2,2,0,361
3603902,5,9,5,2,2,1,1,4,3,1,1,1,2,3,1,362
3603902,5,8,5,2,2,1,1,5,3,1,1,1,2,3,1,363
3603902,5,6,3,2,2,1,1,5,3,4,2,1,2,3,1,364
3603902,5,5,2,2,2,1,1,3,,1,1,1,2,2,1,365
